Article,Recommendation
War of Words: Reliance Jios free-data-for-three-months plan under attack,"[(0.9, 'VC Firm IvyCap is going into IITs, IIMs and ISB to fund startups.\nYes, Christmas just came early this year'), (0.86, '4 ways to tell whether it is love or lust'), (0.84, 'What to read on the GigaOM network'), (0.84, 'This couple bought 300 acres of land and created Indias first private wildlife sanctuary'), (0.83, 'The 10 most important things in the world right now')]"
Twitter Accidentally Sends Out Thousands of Reset Notices,"[(1.0, 'New LG Smartphone Added to the G3 Line Has a Stylus Pen'), (0.98, 'Glip Enters Crowded Collaboration Space, Creates Conversation Streams'), (0.96, 'Yes, Some Small Businesses Have Social Media Budgets over $100,000'), (0.96, 'What New Opportunities Does Android Wear Offer for Entrepreneurs?'), (0.96, 'Targeted Cyber Attacks Against Small Biz: Chat Recap')]"
10 Questions to Ask Before Applying for a Bank Loan,"[(0.98, 'Monster Loyalty: Savvy Engagement Tips From Lady Gaga'), (0.97, 'Consumer Attitudes Indicate a New Year with Old Spending Habits'), (0.94, 'USPS Cuts Saturday Mail Delivery But Will Continue Package Delivery'), (0.94, 'Our Top Story This Week: A New SBA Administrator is Approved'), (0.92, 'enMarkit Leads in Social Commerce in India')]"
Tips for Tracking Employee Time Effectively in Your Business,"[(0.95, 'Time Warner takes stake in Hulu, lifts profit forecast'), (0.95, 'LinkedIn: The Professional Playground For Professional Connections'), (0.9, 'Six Apart finds a pot full of VC Dollars'), (0.9, '15 meeting etiquette rules every professional needs to know'), (0.86, 'Lenovo A7000 Phablet Offers Super Sound and Little Interference')]"
20 Important LinkedIn Groups for Business,"[(0.97, 'You Made It Yourself: Now What? 29 Places to Sell Your Handmade Creations'), (0.97, 'The Sweet Sound of Online Sales: Review of KaChing'), (0.97, 'Retail Trends:  The Eyes Have It'), (0.96, 'Why Word-of-Mouth Should Be Core to Your Business'), (0.96, 'Top Jobs Of The Week In Digital Media And Mobile Content')]"
How Do You Feel About Raising the Minimum Wage?,"[(1.0, 'The Thank You Economy:  Show You Care for People Through Social Media'), (0.95, 'What New Opportunities Does Android Wear Offer for Entrepreneurs?'), (0.95, 'Getting Your Business Energy Efficient Before the Holidays'), (0.95, 'BlackBerry Plans Personal, Business Accounts On One Device'), (0.93, 'Tweeter in Chief: Obama Twitter Account Gets Heavy Engagement')]"
Employers Say Wellness Programs Work,"[(1.03, 'Small Business Disaster Survival Guide: Get Your Insurance Claims Covered'), (1.03, 'Franchising In The Downturn And Recovery'), (0.94, 'Simple Loose Leaf Creates Subscription Service for Tea'), (0.94, 'Disqus Introduces Sponsored Comments For Publishers, Brands'), (0.93, 'HP Reinventing Traditional Computers With Mini Desktop PC')]"
Review of The Mesh: Why The Future of Business Is Sharing,"[(0.95, 'How To Get Everything You Promised Done'), (0.95, '4 Things To Consider When Writing Site Content'), (0.93, 'Why Online Reputation Matters to Small Business'), (0.92, 'Is Google Wallet Geared Toward Small Biz?'), (0.92, 'Amazon Introduces New Kindle Fire Tablets')]"
How To Train Your Team And Make It Connect,"[(0.93, 'Bill Gates, Warren Buffett And Oprah All Use The 5-Hour Rule'), (0.9, 'Working at TaxiForSure is fun for sure [Fabulous Workplaces]'), (0.9, 'Volvo is quietly becoming a tech superpower'), (0.9, 'These were the 10 biggest European tech stories thisweek'), (0.89, 'Ten interesting things that we read this week')]"
BSE: Top gainers and losers,"[(0.97, 'Email Erases 9 to 5 at Many Small to Mid-Sized Businesses'), (0.96, 'Mobile Apps Software Firm Golden Gecko Gets First Round Funding'), (0.96, 'Failing to deliver a 39-point list for school education cost Smriti Irani her job'), (0.92, 'Satanic Latte Art? How Should a Business Respond?'), (0.92, 'Entrepreneur Gary Vaynerchuk: From Personal Brand to VC Investor')]"
Evernote Business: Know What Your Team Knows,"[(0.92, 'What is Siri? And Does Siri Have Competitors?'), (0.92, 'Google AdWords Conversion Import Tracks Offline Sales'), (0.88, '3 Types of Schema Markup Content Marketers Should Know'), (0.85, 'Upstart: Backers Invest in You, And Your Future Earnings Repay Them'), (0.85, ""STOCKS RISE: Here's what you need to know"")]"
"Wix, the Freemium Website Building Platform, Is Growing Like Gangbusters","[(1.0, 'New Microsoft Office Apps, Smartphone Memory Chip Make Headlines'), (0.96, 'Zapier Zaps Your Data from One App to Another With One Click'), (0.96, 'Why Employees Are Always A Bad Idea: A Review'), (0.96, 'New Microsoft Surface 2 Tablets Have Arrived'), (0.95, 'UPS Considers Delivery Drones Too')]"
Clate Mask of Infusionsoft: $54M Ways Your Small Business Can Benefit,"[(1.02, 'How to Use Live Streaming for Content Marketing: Meerkat, Periscope, katch.me'), (1.02, 'FTC Ruling on Pinterest Contest Increases Urgency Over Disclosures'), (1.02, '6 Tactics To Drive Traffic To Your Tradeshow Booth'), (1.01, 'Read Digital Dollar to Get Your Online Strategy in Gear'), (1.01, 'Mobile Payments are Exploding: What You Need to Know as a Retailer')]"
Here come ADP private payrolls ...,"[(0.95, 'Pinterest Beta Tests Do-It-Yourself Promoted Pins for Business'), (0.95, 'Getting Comfortable With Self-Promotion'), (0.93, 'The Referral Engine: Teaching Your Business to Market Itself'), (0.93, 'Advantages of Using eCommerce Software in Your Retail Business'), (0.9, 'What NOT to Spend On In Your Startup')]"
What is Canva and How Do I Use It For My Business?,"[(0.96, 'Here comes the jobs report ...'), (0.96, '5 Ways Social Media Can Make Your Trade Show A Success'), (0.95, 'Read Digital Dollar to Get Your Online Strategy in Gear'), (0.95, '4 Reasons Your Brand Should Avoid Facebook'), (0.95, '2 Important Things to Know About Viral Videos')]"
Flexible Working: Win-Win For Employers and Employees,"[(0.89, 'SK Telecom-Helio-Virgin Mobile Deal Done; Helio To Be Injected Into VMUSA: Report'), (0.87, 'Print Photos From Your Phone with the Prynt Smartphone Case'), (0.85, 'Stay At Home Mom Launched $24 Million Franchise in her Living Room'), (0.82, 'Ever Wish You Had the Same Data As Amazon? Terapeak Says You Can'), (0.8, 'What to read on the GigaOM network')]"
Woman Makes Business Out of Giant Cookies After Losing Job of 30 Years,"[(1.0, 'Who Should You Follow on Twitter?'), (1.0, '12 Ways You Can Use LinkedIn for Branding to Stand Out'), (0.98, 'SMB Marketing Is About Telling Your Story'), (0.98, 'RGB, CMYK and PMS Colors Explained'), (0.97, 'Twitter Ads API Gives You More Advertising Options')]"
4 Reasons Your Brand Should Avoid Facebook,"[(1.02, 'Consumer Attitudes Indicate a New Year with Old Spending Habits'), (1.01, 'TheStreet.com: Marketing Manager, NYC'), (1.01, 'New Dell Tablet Features 3D Camera'), (1.0, 'Nokia Introduces Asha Smartphones Beginning at Just $69'), (1.0, 'Jonathan Davids of Influicity: Engaging YouTube Stars to Connect with Prospects')]"
You Should Consider These Things When Choosing Who To Follow On Twitter,"[(0.94, 'Malicious Apps On Google Play Increase By 388 Percent'), (0.87, 'How to Get Your Company Back in Good Standing This Summer'), (0.84, 'BSE: Top losers and gainers'), (0.83, 'Sony Unveils Xperia Z3 Flagship Phone'), (0.81, 'Study: 16 Percent of Yelp Reviews May Be Fakes')]"
Ten interesting things we read this week,"[(0.96, 'Yahoo: Director Product Management, Yahoo! Finance, Sunnyvale, CA'), (0.93, 'Enterprise Analytics: Big Data Measures to Better Business'), (0.92, 'You thought Vijay Mallya is the largest defaulter who owes banks money? Wait till you read this'), (0.92, 'Exceed Your Indiegogo Goals by 1,000 Percent with These Lessons'), (0.91, ""How 2 of the world's most powerful and dangerous drug lords compare"")]"
Multi-Screen Ecommerce Strategy: Beyond the Single Shopping Screen,"[(1.0, 'How to Get More Positive Customer Reviews, Using Get Five Stars'), (0.98, 'Mary Lou Song of Fuel451: Using Ad Tech to Turn Videos into Digital Marketing Campaigns'), (0.97, 'Advantages of Using eCommerce Software in Your Retail Business'), (0.95, 'Omnichannel done right: 4 ways to keep the communication in marketingcommunications'), (0.95, 'Market Your Business on Facebook With Some of This Secret Sauce')]"
Yelp Data Shows the Power of Mobile Marketing,"[(0.96, 'Review of Hootsuite: Manage Social Media From A Single Dashboard'), (0.96, 'Dell Has A New Tablet, iCloud Prices Drop'), (0.96, '10 Food Franchise Technology Tools And Solutions'), (0.95, 'Constant Contact Moves into Mobile with Acquisition of CardStar'), (0.95, '3 Ways to Perform SEO on a Shoestring Budget')]"
Take the Time to Manage Customer Reviews,"[(0.94, 'Twitter Chat: Is Your Brand Helping Or Hurting Your Business?'), (0.93, 'TaskRabbit Switches Business Models'), (0.93, 'Spotlight: Studypool Provides Fast Online Homework Help'), (0.93, 'South Dakota, Texas Top List of Best State Tax Systems'), (0.93, 'Small Banks Continue to Grab Share In Small Biz Loan Market')]"
RANKED: The 20 best Nintendo 64 games of all time,"[(0.94, 'This One Quality Can Make or Break Your Social Media Campaigns'), (0.94, 'This Coffee Shop is Selling More Than Just Coffee'), (0.91, 'Here comes the Baker Hughes rig count ...'), (0.91, 'Community Connect: Product Strategist, NYC'), (0.91, '8 Reasons Your Facebook Page Stinks')]"
"Demonetisation: Banks may trim base rate by 360 bps in 3-4 years, says Ambit","[(0.95, 'Futures are rallying'), (0.85, 'Crude oil futures fall on weak Asian cues'), (0.8, 'Robust Employment Growth, Just not for the Self-Employed'), (0.79, 'Wall Street opens little changed'), (0.73, 'Read Adaptability and Learn to Thrive in Any Environment')]"
What If Someone Stole Your Website?,"[(0.91, 'Lodha says it sold Rs 150-160 cr new property in last 10 days'), (0.85, 'Sun TV Q1 net profit climbs 19% to Rs 233.1 crore'), (0.85, 'Speed Up Your Mobile Browsing with Dolphin'), (0.85, 'Get Organized and Increase Your Productivity With Evernote'), (0.8, 'Citysearch: Product Manager, LA')]"
The Project Champion: A Management Best Practice,"[(1.0, 'Why I Linked Out on LinkedIn'), (0.93, 'Got a Sony Laptop? See If Your Batteries Could Be a Hazard'), (0.93, 'Forget what you heard: Jupiter does not orbit the sun'), (0.93, 'Crowdfunders: PayPal Will No Longer Freeze Your Funds'), (0.91, 'When to Give Business Gifts and Who to Give Them to')]"
LinkedIn Introduces Showcase Pages for Business,"[(0.98, 'Gold futures slide on weak global cues'), (0.96, 'Ever Wish You Had the Same Data As Amazon? Terapeak Says You Can'), (0.95, 'DipJar Offers a New Way for Cashless Customers to Tip'), (0.94, 'Here comes the Baker Hughes rig count ...'), (0.94, 'Community Connect: Product Strategist, NYC')]"
Twitter Ads API Gives You More Advertising Options,"[(0.97, 'Woman Makes Business Out of Giant Cookies After Losing Job of 30 Years'), (0.97, 'How To Get Your Content Shared On Twitter'), (0.97, '12 Ways You Can Use LinkedIn for Branding to Stand Out'), (0.96, 'The 10 things in advertising you need to know today'), (0.96, 'Small Business News: Stories This Week Not to Miss')]"
Retail Trends:  The Eyes Have It,"[(0.97, 'When and How to Use Autoresponders'), (0.97, '4 Ways To Survive Social Media Humiliation'), (0.97, '20 Important LinkedIn Groups for Business'), (0.93, 'The Sweet Sound of Online Sales: Review of KaChing'), (0.93, 'Nokia Introduces Asha Smartphones Beginning at Just $69')]"
Plug In and Charge Internationally With the MU System,"[(0.95, 'New Amazon Kindles Will Be More Like Tablets'), (0.94, 'WitKit Platform Lets Your Team Collaborate in Security'), (0.92, 'Buy  BEML, target Rs  1000  :   Kunal Bothra'), (0.89, ""Here's A Brand New Thing You Didn't Know About 'Friends'""), (0.87, 'iPad Users Get Refund on Office 365')]"
"Small Businesses Spend More on Travel, Per Concur Survey","[(1.0, 'WordStream Improves Its Free AdWords Benchmark Tool For Small Business Advertisers'), (1.0, 'Improving Your Community Can Improve Your Business'), (1.0, '5 Ways Negative Reviews Are Good For Business'), (0.98, 'How Do Your Employee Benefits Stack Up?'), (0.97, 'Protecting Small Business Intellectual Property')]"
"Yahoo: Director Product Management, Yahoo! Finance, Sunnyvale, CA","[(0.98, 'Enterprise Analytics: Big Data Measures to Better Business'), (0.96, 'Ten interesting things we read this week'), (0.95, '10 things you need to know in markets today'), (0.94, 'You thought Vijay Mallya is the largest defaulter who owes banks money? Wait till you read this'), (0.94, ""How 2 of the world's most powerful and dangerous drug lords compare"")]"
European shares steady as firmer banks offset weaker auto stocks,"[(1.0, 'You thought Vijay Mallya is the largest defaulter who owes banks money? Wait till you read this'), (0.97, 'With great stardom comes great stress  learn how to de-stress from your favourite celebrities and leaders'), (0.97, ""STOCKS RALLY: Here's what you need to know""), (0.94, 'Yahoo: Director Product Management, Yahoo! Finance, Sunnyvale, CA'), (0.93, 'Tata Chemicals Q1 profit up 32.34 pc at Rs 279.65 crore')]"
Cyber Liability Insurance: Protect Your Business Online,"[(0.93, 'Gross Fixed Capital Formation Weak at Non-Corporate Businesses'), (0.9, 'You thought Vijay Mallya is the largest defaulter who owes banks money? Wait till you read this'), (0.9, 'The Bengal Famine: How the British engineered the worst genocide in human history for profit'), (0.9, 'Daily Sprout'), (0.87, 'With great stardom comes great stress  learn how to de-stress from your favourite celebrities and leaders')]"
Survey: Businesses Benefit from Social Media Savvy,"[(0.93, 'Google Knocks $100 Off Nexus 4'), (0.92, 'The Rumors Are True, Facebook Gets Hashtags'), (0.89, 'eBay Plans a New Mobile Ad Network'), (0.89, 'The ultimate master list of revenue models used by Web and Mobile companies'), (0.84, 'Twitter Officially Launches Mobile Ads Manager')]"
16 Tips for Saving on Small Business Expenses Infographic,"[(0.85, 'Up close & personal: How Sunny Leone handles stocks, land, gold, other assets'), (0.84, 'When is the Best Time to Trademark Your Company Name?'), (0.73, 'Local and Ecommerce Merchants Pick Up On Facekini Trend'), (0.71, 'The Terms of Business: How to Negotiate a Partnership Agreement'), (0.7, 'Reed Business Information: Online Sales Manager, LA')]"
9 appearance mistakes that could be holding you back at work,"[(0.95, 'HP Pavilion Mini and Stream Mini Introduced'), (0.94, 'Your Uncharged Phone Might Not be Allowed on Some Flights'), (0.94, 'Do Your Customers Look Forward to Seeing You?'), (0.88, 'Pinteresting Image Optimization Tips When Using Pinterest for Business'), (0.88, 'Nokia Introduces 6 Inch Phone with Business Functionality')]"
"Mike Blumenthal Talks Local Search Marketing, Pigeon Update","[(1.0, 'Giles House of CallidusCloud: Most Important Cloud is one that Turns Leads into Cash'), (1.0, 'Facebook is Trying to Make Advertising Simpler'), (0.97, 'eBay Warns Users to Change Passwords After Attack Compromised Files'), (0.97, 'Watch These Metrics to Measure YouTube Marketing Success'), (0.97, 'Tom Byun of Yahoo! Small Business: Making That Next Sale')]"
Top 5 Online Credibility Killers,"[(0.95, 'Google Databoard Lets You View Research, Create Infographics'), (0.94, '10 Twitter Blunders Businesses Should Avoid'), (0.9, 'Google Adds New Features to Place Pages, Is It Enough?'), (0.89, ""STOCKS GO NOWHERE: Here's what you need to know""), (0.78, 'WhatsApp Offers Alternative to Paid Texting, Social Sites')]"
"No Ifs, Ands or Butts: Get Your Employees Fit!","[(0.97, 'Celebrating National Business Etiquette Week'), (0.95, 'How to Motivate Temporary Employees to do Their Best'), (0.95, 'Get Ready: Here Comes Twitter Business Center'), (0.95, 'Federal Gas Tax Could Increase by 15 Cents, More Costs Possible'), (0.95, 'Court Reverses $338,000 Award for User Generated Content')]"
Verizon Trades Two Year Contracts for Monthly Billing,"[(0.95, 'Yelp Reviews Out of Google Places. What Else Ya Got?'), (0.94, 'Google Acquisition of Motorola Finally Closes: Why You Should Care'), (0.94, 'Effective Marketing Includes A Return On Influence'), (0.92, 'The Evolution of Affiliate Marketing'), (0.92, 'Read Impact Equation to Help You Harness Your Social Media Message')]"
Google+ Lifts Real Names Only Policy,"[(0.95, 'MYQROsites Offers New App for Mobile Marketing With QR Codes'), (0.95, 'Learn Vital Lessons by Entering The Mind of Elite Entrepreneurs'), (0.95, 'Famous Bloggers Founder Loses Domain Names'), (0.94, 'Twitter Ads API Gives You More Advertising Options'), (0.94, 'The Psychology of Color in Marketing')]"
"VC Firm IvyCap is going into IITs, IIMs and ISB to fund startups.
Yes, Christmas just came early this year","[(0.94, 'Cash ban positive in long-run; investment push needed: Experts'), (0.9, 'War of Words: Reliance Jios free-data-for-three-months plan under attack'), (0.9, 'This couple bought 300 acres of land and created Indias first private wildlife sanctuary'), (0.88, 'The 10 most important things in the world right now'), (0.88, 'Modi wants Tesla to set up its factories in India')]"
Awaken Your Productivity With Fearless At Work,"[(0.96, 'Review: Samsung Chromebook for Your Small Business'), (0.96, 'ReTargeter Creator Aims to Replace CRM with New Immediately App'), (0.96, 'Mobile Coupons Slowly Gain Steam With Users'), (0.96, 'Amazon Offers Comparable Tablet Cheaper Than iPad Air'), (0.96, 'Adobe Document Cloud Aims to Get Rid of Your Paperwork')]"
Small Business Loans Hit Record High for Third Consecutive Month,"[(1.01, 'Small Business Job Growth Dips in January'), (1.01, 'Fraudulent DMCA Takedown Requests: Finally, a Lid on Them?'), (0.96, 'Shutdown Cost Small Tourism Businesses Millions'), (0.95, 'TaskRabbit Switches Business Models'), (0.95, 'Study Finds Small Business Loans Key to Startup Success')]"
eBay Warns Users to Change Passwords After Attack Compromised Files,"[(1.0, '30 Crowdfunding Sites to Take Your Venture to the Next Level'), (0.97, 'Mike Blumenthal Talks Local Search Marketing, Pigeon Update'), (0.97, 'Giles House of CallidusCloud: Most Important Cloud is one that Turns Leads into Cash'), (0.97, 'Facebook is Trying to Make Advertising Simpler'), (0.96, 'The Referral Engine: Teaching Your Business to Market Itself')]"
Barbershop Makes Kids Look Like Senior Citizens for Free,"[(0.98, 'HP Reinventing Traditional Computers With Mini Desktop PC'), (0.96, 'Disqus Introduces Sponsored Comments For Publishers, Brands'), (0.95, 'Entrepreneur Creates Winery on the Third Floor of a Warehouse'), (0.91, 'Small Business Disaster Survival Guide: Get Your Insurance Claims Covered'), (0.91, 'Franchising In The Downturn And Recovery')]"
Best Places to Turn Your Website Into an App for Android and iPhone,"[(1.0, 'What Does Google Place Pages Mean For SMBs?'), (0.97, 'Navigating Social Media Legal Risks: Keeping Your Marketing Legally Safe'), (0.96, 'Busted: Hotels.com Caught Buying Links, Apology is Weak'), (0.96, '5 Ways to Start Building Your Brand Online'), (0.94, 'Lawn Care Services Offered on Amazon Soon')]"
How Do I Update WordPress Plugins Automatically?,"[(0.98, 'UPS Considers Delivery Drones Too'), (0.98, 'New York Times Hacked Via Crafty Phishing Attack'), (0.97, 'Zapier Zaps Your Data from One App to Another With One Click'), (0.97, 'New Microsoft Surface 2 Tablets Have Arrived'), (0.97, 'FAA Changes Rules on Electronic Devices in Flight')]"
US Fed keeps interest rates unchanged,"[(0.97, 'With great stardom comes great stress  learn how to de-stress from your favourite celebrities and leaders'), (0.97, 'Gross Fixed Capital Formation Weak at Non-Corporate Businesses'), (0.94, 'When To Respond To Negative Reviews (and not)'), (0.93, 'Tata Chemicals Q1 profit up 32.34 pc at Rs 279.65 crore'), (0.91, ""STOCKS RALLY: Here's what you need to know"")]"
When To Respond To Negative Reviews (and not),"[(0.94, 'US Fed keeps interest rates unchanged'), (0.91, 'With great stardom comes great stress  learn how to de-stress from your favourite celebrities and leaders'), (0.91, 'Ten interesting things that we read this week'), (0.89, 'Successful S-Corp Owners: Watch Out For A Tax Increase'), (0.88, 'What is a Database?')]"
Graph Search Presents Opportunties to Reach More Facebook Users,"[(1.02, 'Copper futures rise on global cues, spot demand'), (1.0, 'Charitable Startup Finds New Use for Old Cardboard Boxes'), (0.98, 'HP to Introduce Another Tablet Laptop Hybrid, Using Windows'), (0.91, 'Rs 1 Cr sales in four months  how a software engineer is giving Mandyas debt-ridden farmers a new lease of life'), (0.91, 'Review  of Crush It!: Why Now is the Time to Cash in on your Passion')]"
68 E-Commerce and Shopping Carts for the Small Business,"[(1.0, 'Vocus, Provider of PRWeb, Acquires iContact Email Marketing'), (1.0, 'Raise and Re-Energize Your Business Metabolism'), (1.0, 'How to Leverage Infographics for B2B Marketing'), (1.0, 'How to Create DIY Professional Quality Writing for Your Small Business'), (1.0, '4 Ways to Encourage Online Reviews')]"
Mobile Apps SMBs Should Care About,"[(1.0, 'Tech Startup Viddler is a Hometown Success Story'), (1.0, 'Spotlight: Margaritas Restaurant Brings Mexican Culture to New England'), (0.97, 'What Is HTML5? Do I Need It For My Business Website?'), (0.97, 'The First Consumer 3D Printer Is Now In Crowdfunding'), (0.97, 'How to Reinstate a Non-Compliant Business Before the End of the Year')]"
15 Startup Mistakes You Should Avoid,"[(0.94, 'Small Business Leads To Better Economy'), (0.94, 'Communicating to Employees About Health Insurance Open Enrollment'), (0.9, 'Is Network Congestion Choking Your Mobile Experience?'), (0.89, 'Odd Lots:'), (0.87, 'Insights From Google About How Small Businesses Can Improve Sales')]"
"Yahoo Will Free Up Inactive IDs, Possibly Including Yours","[(1.01, 'Nokia Introduces 6 Inch Phone with Business Functionality'), (0.95, 'Your Uncharged Phone Might Not be Allowed on Some Flights'), (0.94, 'Wix Introduces Beautiful ShoutOut Newsletters'), (0.91, 'Rs 1 Cr sales in four months  how a software engineer is giving Mandyas debt-ridden farmers a new lease of life'), (0.91, 'Review  of Crush It!: Why Now is the Time to Cash in on your Passion')]"
Answers to Your Frequently Asked Questions About Incorporation,"[(0.99, 'How the IRS Scandal Might Benefit Small Business'), (0.98, 'S-Corp Audit Rates Inch Down, But Most Targeted Are Compliant'), (0.98, 'Buffer Hack Spams Social Media Followers'), (0.98, 'An Update on the Greater Opportunities for Small Business Act'), (0.97, 'Working On Your Business Not In It')]"
Book Review: The Constant Contact Guide to Email Marketing,"[(1.02, 'How to Strengthen Your Social Media Content Marketing Strategy'), (1.01, 'Senate Passes Internet Sales Tax; Bill Moves to House'), (1.01, 'Finding Success Empowering Lifestyle Entrepreneurs'), (1.0, 'Small Business News: Small Biz Startup Tips'), (1.0, 'How Do Consumers Buy Online?')]"
Failing to deliver a 39-point list for school education cost Smriti Irani her job,"[(0.96, 'Entrepreneur Gary Vaynerchuk: From Personal Brand to VC Investor'), (0.96, 'BSE: Top gainers and losers'), (0.95, 'Email Erases 9 to 5 at Many Small to Mid-Sized Businesses'), (0.91, 'Ever Wish You Had the Same Data As Amazon? Terapeak Says You Can'), (0.9, 'Gold futures slide on weak global cues')]"
Podio Launches Video Conference App,"[(0.96, 'Google Grants Available for Nonprofit Organizations'), (0.92, 'Video Ad Service TubeMogul Hopes to Raise $93.4 Million with IPO'), (0.92, 'Q2 Earnings Announcements This Week'), (0.92, 'New Acer Chromebook Introduced with Focus on Mobility'), (0.84, 'Google AdWords Conversion Import Tracks Offline Sales')]"
This couple bought 300 acres of land and created Indias first private wildlife sanctuary,"[(0.9, 'VC Firm IvyCap is going into IITs, IIMs and ISB to fund startups.\nYes, Christmas just came early this year'), (0.9, 'The 10 most important things in the world right now'), (0.9, 'Modi wants Tesla to set up its factories in India'), (0.9, 'Meet Byju, whos changing the way India learns'), (0.9, 'Cash ban positive in long-run; investment push needed: Experts')]"
How Google Upgraded URLs Will Change Your AdWords Experience,"[(1.01, 'Amazon Cloud Storage is Unlimited but Budget Friendly'), (0.91, 'Top 5 Programming Languages for Mobile Application Development'), (0.9, 'Internet Explorer Remains Dominant Browser'), (0.89, 'Local Marketing and the Google Pigeon Update'), (0.86, 'Bill Gates, Warren Buffett And Oprah All Use The 5-Hour Rule')]"
What Does Google Place Pages Mean For SMBs?,"[(1.0, 'Best Places to Turn Your Website Into an App for Android and iPhone'), (0.97, 'Navigating Social Media Legal Risks: Keeping Your Marketing Legally Safe'), (0.96, 'Busted: Hotels.com Caught Buying Links, Apology is Weak'), (0.96, '5 Ways to Start Building Your Brand Online'), (0.94, 'Lawn Care Services Offered on Amazon Soon')]"
"Yelp Loses Money, But Hits 100 Million Visitors","[(1.0, 'What is Branding? And Should Small Businesses Care?'), (1.0, 'Dell Has A New Tablet, iCloud Prices Drop'), (1.0, '6 Benefits of Social Media for Small Businesses'), (1.0, '10 Food Franchise Technology Tools And Solutions'), (0.96, 'Read Digital Dollar to Get Your Online Strategy in Gear')]"
Six Apart finds a pot full of VC Dollars,"[(0.91, 'Buy  BEML, target Rs  1000  :   Kunal Bothra'), (0.9, 'iPad Users Get Refund on Office 365'), (0.9, 'Tips for Tracking Employee Time Effectively in Your Business'), (0.9, 'Against The Machine: Being Human In The Age of The Electronic Mob'), (0.9, '15 meeting etiquette rules every professional needs to know')]"
These 19 companies are racing to put driverless cars on the road by 2020,"[(0.97, 'Google Glass: Not Yet On Sale, But Already Banned in Some Businesses'), (0.9, 'The 10 biggest European tech stories thisweek'), (0.87, 'Success Story of an Indian College Drop Out'), (0.87, 'Give Quantitative, Monetary Values to Employee Benefits or Risk Attrition'), (0.85, 'When I had no food and only Rs 50 in my pocket  a moving story of an entrepreneur')]"
Review of Hootsuite: Manage Social Media From A Single Dashboard,"[(0.97, '6 Statistics That Influence Your Mix of Media, Marketing and Mingling'), (0.96, 'Yelp Data Shows the Power of Mobile Marketing'), (0.96, 'Review: Attention! This Book Will Make You Money'), (0.94, 'No More Plastic Phones: Samsung Galaxy A3, A5 Made of Metal'), (0.93, 'Small Business Optimism: Status Quo or Cautious Optimism?')]"
How to Claim a YouTube Custom Channel URL,"[(0.89, 'Internet Explorer Remains Dominant Browser'), (0.88, 'The Hiring Roadmap We Advise for All Our Portfolio Startups'), (0.86, 'Local Marketing and the Google Pigeon Update'), (0.82, 'Reaching the Cloud: Dedicated Ethernet vs Public Internet Connections'), (0.8, 'YouTube Adds Google Plus Type Comments')]"
Amazon Innovates With New Tablets and e-Readers,"[(0.95, '22 Ways to Renew Your Spirit and Get Your Mojo Back'), (0.92, 'Meet Byju, whos changing the way India learns'), (0.87, 'Facebook Messenger hits 1 billion users'), (0.84, 'Do You Trust Your Employees to Work Remotely?'), (0.82, 'Yahoo Buys 30 Percent Stake In Indian Phone Directory Service Ezee')]"
"Google Glass: Not Yet On Sale, But Already Banned in Some Businesses","[(0.97, 'These 19 companies are racing to put driverless cars on the road by 2020'), (0.93, 'The 10 biggest European tech stories thisweek'), (0.91, 'Say What? Siri Voicemail Transcription Means Text, Not Talk'), (0.87, 'How Does Social Media Aid Lead Generation?'), (0.86, 'This New Online Tool Creates a Picture of Your Cash Flow')]"
What Are Net Promoter Scores?,"[(1.0, 'Infusionsoft Gmail Integration is Now Available'), (1.0, 'Apple Will Introduce Two Curved Phones'), (0.98, 'Manta Business Directory Upgrades to Help You Get Discovered'), (0.98, 'Learn How to Improve Online Marketing: Performance Marketing With Google Analytics'), (0.98, 'Clate Mask of Infusionsoft: $54M Ways Your Small Business Can Benefit')]"
The 10 biggest European tech stories thisweek,"[(0.94, 'P2P Tech Firm CacheLogic Raises $20M in Third Round Funding'), (0.93, 'Google Glass: Not Yet On Sale, But Already Banned in Some Businesses'), (0.92, 'After bruising China battle, Uber cedes to rival Didi'), (0.91, 'Say What? Siri Voicemail Transcription Means Text, Not Talk'), (0.9, 'These 19 companies are racing to put driverless cars on the road by 2020')]"
eBay Opposes Legislation Imposing New Taxes and Regulatory Burdens on Small Businesses,"[(1.01, '7 Ways to Get More From Social Media in 2010'), (0.98, 'New Tax Penalty Targets Health Reimbursement Accounts'), (0.97, '5 Ways to Start Building Your Brand Online'), (0.96, 'Spring Clean Your Small Business, Twitter Chat Recap'), (0.96, 'S-Corp Audit Rates Inch Down, But Most Targeted Are Compliant')]"
Your New Year Small Business Checklist,"[(1.0, 'Will the Dependent Coverage Provision Raise Insurance Premiums?'), (0.98, 'Loan Approvals Rising at Small Banks and Alternative Lenders'), (0.97, '10 Apps to Assist with Your Small Business Taxes'), (0.95, 'Googles Russian Ad Buy Blocked On Technicality; Putins Spanner In The Works?'), (0.95, 'Exceed Your Indiegogo Goals by 1,000 Percent with These Lessons')]"
SoundCloud Introduces Program to Share Revenue with Artists,"[(1.0, 'Purchase by Commenting on Instagram with Spreesy'), (1.0, 'Microsoft Drops Price of Surface Pro Tablets, Too'), (1.0, 'How the Cloud is Reshaping Small Business Productivity'), (1.0, 'A Quick Guide to Local Search to Ease Any Confusion'), (0.97, 'The Creative Small Business and 4 Ways to Get There')]"
